level_0,level_1,level_2
Apparel & Accessories,Women's,Thigh Slimmers
Apparel & Accessories,Women's,Waist Cinchers
Apparel & Accessories,Women's,Slips
Apparel & Accessories,Women's,Jeans
Apparel & Accessories,Women's,Maternity
Apparel & Accessories,Women's,Pants
Apparel & Accessories,Women's,"Shirts, Blouses & Polos"
Apparel & Accessories,Women's,Shorts
Apparel & Accessories,Women's,Skirts
Apparel & Accessories,Women's,Sleepwear & Robes
Apparel & Accessories,Women's,Pajamas
Apparel & Accessories,Women's,Socks & Hosiery
Apparel & Accessories,Women's,Sports Fan Apparel
Apparel & Accessories,Women's,Suits & Separates
Apparel & Accessories,Women's,Sweaters
Apparel & Accessories,Women's,Swim
Apparel & Accessories,Women's,Tops & Tees
Apparel & Accessories,Women's,World Apparel
Apparel & Accessories,Young Men's,
Apparel & Accessories,Young Men's,Active
Apparel & Accessories,Young Men's,Pants
Apparel & Accessories,Young Men's,Shirts
Apparel & Accessories,Young Men's,Shorts
Apparel & Accessories,Young Men's,"Sweatshirts, Pants & Suits"
Apparel & Accessories,Young Men's,Coats & Jackets
Apparel & Accessories,Young Men's,Hoodies & Track Jackets
Apparel & Accessories,Young Men's,Jeans
Apparel & Accessories,Young Men's,Shirts & Polos
Apparel & Accessories,Young Men's,Socks
Apparel & Accessories,Young Men's,Sports Fan Apparel
Apparel & Accessories,Young Men's,Sweaters
Apparel & Accessories,Young Men's,Swim
Apparel & Accessories,Young Men's,T-Shirts
Apparel & Accessories,Young Men's,Underwear
Apparel & Accessories,Young Men's,Vests
Baby Products,,
Baby Products,Baby Stationery,
Baby Products,Baby Stationery,Birth Announcements
Baby Products,Baby Stationery,Invitations
Baby Products,Baby Stationery,Thank You Cards
Baby Products,Baby Toys,
Baby Products,Baby Toys,Activity Toys
Baby Products,Baby Toys,Baby Rattles
Baby Products,Baby Toys,Bath Toys
Baby Products,Baby Toys,Blocks
Baby Products,Baby Toys,Car Seat & Stroller Toys
Baby Products,Baby Toys,Crib Toys & Attachments
Baby Products,Baby Toys,Electronic Toys
Baby Products,Baby Toys,Hand & Feet Finders
Baby Products,Baby Toys,Mirrors
Baby Products,Baby Toys,Music & Sound
Baby Products,Baby Toys,Push & Pull Toys
Baby Products,Baby Toys,Shape Sorters
Baby Products,Baby Toys,Stacking & Nesting Toys
Baby Products,Baby Toys,Stuffed Animals & Toys
Baby Products,Baby Toys,Teethers
Baby Products,Baby Toys,Walkers
Baby Products,Bathing & Skin Care,
Baby Products,Bathing & Skin Care,Aromatherapy
Baby Products,Bathing & Skin Care,Bathing Tubs & Seats
Baby Products,Bathing & Skin Care,Bathroom Safety
Baby Products,Bathing & Skin Care,Bubble Bath
